KEY,ENGLISH,KOREAN,CHECKED
e.already_has_upgrade,Upgrade already purchased.,이미 구입한 업그레이드입니다.,
w.gadget_install_permanent,This gadget is installed permanently until demolished.,이 장치는 철거하기 전까지 영구히 있습니다.,
w.destroying_gadget_destroys_contents,Demolishing this gadget will destroy its contents!,이 장치를 해체하면 내용물까지 사라집니다.,
w.pick_up_gadget_destroys_contents,Picking up this gadget will destroy its contents!,이 장치를 들어서 옮기면 내용물이 사라집니다.,
w.destroying_silo_destroys_contents,Demolishing a silo will destroy its contents!,저장소를 해체하면 내용물도 같이 사라집니다.,
w.limit_reached_drill,Drill install limit reached. Limit: 6,드릴 설치 한도에 도달했습니다. 한계: 6,
w.limit_reached_pump,Pump install limit reached. Limit: 6,펌프 설치 한도에 도달했습니다. 한계: 6,
w.limit_reached_apiary,Apiary install limit reached. Limit: 6,양봉장 설치 한도에 도달했습니다. 한계: 6,
w.cannot_demolish_corral_tutorial,You cannot demolish the corral at this time.,지금은 우리를 파괴할 수 없습니다,
b.limit_reached,Limit Reached,한계 도달,
t.empty_plot,Empty Ranch Plot,빈 목장 터,
t.coop,Coop,닭장,
b.walls,Walls,벽,
b.feeder,Feeder,급여기,
b.vitamizer,Vitamizer,비타마이저,
t.corral,Corral,우리,
b.music_box,Music Box,음악 상자,
t.garden,Garden,정원,
b.nutrient_soil,Nutrient Soil,양분 토양,
b.sprinkler,Sprinkler,살포기,
b.scareslime,Scareslime,슬라임아비,
b.clear_crop,Remove Crops,작물 제거,
m.desc.clear_crop,Remove the existing crops to plant something new.,새로운 작물을 심기 위해 원래 있던 작물을 제거합니다,
l.remaining_harvest_time,Remaining Harvest Time:,수확까지 남은 시간:,
l.growing,Growing:,자라는 중:,
t.silo,Silo,창고,
m.empty,Empty,비어있음,
b.extra_storage,Extra Storage,추가 저장고,
t.incinerator,Incinerator,소각로,
t.pond,Pond,연못,
t.teleporter,Teleporter,텔레포터,
t.personal_upgrades,Vacpack Upgrades,배낭 업그레이드,
e.already_has_personal_upgrade,You already have this upgrade.,이미 업그레이드된 상태입니다.,
e.ineligible_for_personal_upgrade,This upgrade is not yet available.,아직 해당 업그레이드를 사용할 수 없습니다.,
t.slime_toys,Slime Toys,,
t.ranch_house,Ranch House,목장 건물,
b.sleep_until_morning,Sleep Until Morning,아침까지 자기,
b.mail,Starmail,별 우편,
b.leave_to_ranch,Return to Ranch,목장으로 돌아가기,
m.select_mail,Select a starmail message on the left.,왼쪽에 별우편 메세지를 선택하세요,
m.new_mail,Starmail Received!,,
m.mail_from_wrap,<b>From: </b>{0},,
m.new_mail_hint,Visit the Ranch House to view.,,
t.new_game,Create New Game,새로운 게임 만들기,
t.load_game,Load Game,게임 불러오기,
b.new_game,New Game,새 게임,
b.start_game,Play,게임하기,
b.delete_game,Delete,삭제,
b.continue,Continue,이어하기,
b.confirm,Confirm,확인,
b.load,Load,불러오기,
b.quit,Quit,나가기,
b.back,Back,뒤로,
b.switch_user,: Switch User,,
m.default_game_name,Game{0},Game{0},
e.game_name_exists,A game of that name already exists.,이미 있는 게임 이름입니다.,
e.letters_nums_only,Game names should only contain letters and numbers.,게임 이름은 숫자와 문자만 허용됩니다.,
e.no_spaces,Spaces not allowed in game names currently.,게임 이름에 공백은 허용되지 않습니다.,
e.max_length,Game names must be between 1 and {0} characters in length.,,
m.game_name,Game Name:,게임 이름:,
l.five_day_challenge,Five Day Rush,5일 러쉬,
l.loading,Loading,불러오는 중,
l.unknown,Unknown,미확인,
t.confirm_delete,Delete File,파일 삭제,
m.confirm_delete,Are you sure you wish to permanently delete this game?,영구적으로 이 게임을 삭제하시겠습니까?,
l.select_game_icon,Choose a Save Icon:,세이브 아이콘 선택,
l.select_game_mode,Select Game Mode:,게임 모드 선택:,
l.pedia_count,Discoveries: {0},발견물: {0},
m.no_saved_games,No Saved Games Available,사용가능한 저장된 게임이 없음,
m.xbox_user_change_detected,A User Change Has Been Detected,,
m.xbox_controller_disconnect,Your controller may have been disconnected.,,
m.xbox_press_menu_to_continue,Press Menu to Continue,,
m.gamemode_classic,Adventure,모험,
m.desc.gamemode_classic,"Live the life of a Slime Rancher and explore the wonders of the Far, Far Range at your own pace.",아주 멀고 이상한 곳에서 당신만의 속도로 탐험하는 슬라임 목장주의 삶을 사십시오.,
m.gamemode_time_limit,Five Day Rush,5일 러쉬,
m.desc.gamemode_time_limit,A mad sprint for the most newbucks you can earn in 5 days. Bragging is encouraged!,5일 동안 미친 속도로 가장 많은 돈을 벌어보세요. 자랑해도 됩니다!,
b.resume,Resume,계속하기,
b.restart,Restart,재시작,
b.screenshot,Screenshot,스크린샷,
b.save_and_quit,Save & Quit,세이브&나가기,
b.emergency_return,Emergency Return,비상 복귀,
m.emergency_return,WARNING: This feature allows you to knock yourself out in order to return home. You will lose everything in your vac tanks and sleep until the next day. Do not use unless you are truly stuck!,경고: 이 기능을 사용하면 기절한 상태로 집으로 돌아갑니다. 당신이 가진 모든 것을 잃고 다음날까지 잠자게 됩니다. 당신이 진짜 위험한 상태가 아니라면 사용하지 마세요!,
b.expo_play,Play,플레이,
b.expo_gamepad,Gamepad,게임패드,
b.expo_quit,Quit,나가기,
b.expo_change_gamepad_settings,Change Settings,세팅 변경,
t.options,Options,옵션,
t.expo_options,Gamepad,게임패드,
b.video,Video,비디오,
b.audio,Audio,오디오,
b.input,Input,입력,
b.gamepad,Gamepad,게임패드,
b.other,Other,기타,
l.reset_defaults,Reset Defaults,기본으로 리셋,
l.quality,Master Graphics Quality:,전반적인 그래픽 품질:,
l.disable_camera_bob,Disable Camera Bob,시점 흔들림 효과 비활성화,
l.buffer_for_gif,Buffer Video for Gif Capture,GIF 녹화를 위한 비디오 버퍼,
l.lock_vac,Enable Toggle Grip,Toggle Grip 활성화,
l.sprint_hold,Hold to Sprint,전력질주하려면 누르고 계십시오,
l.disable_tutorials,Disable Tutorials,튜토리얼 끄기,
l.quality_lowest,Lowest,가장 낮음,
l.quality_low,Low,낮음,
l.quality_default,Default,보통,
l.quality_high,High,높음,
l.quality_very_high,Very High,가장 높음,
l.quality_custom,Custom,커스텀,
l.lighting,Lighting:,광원:,
l.lighting_low,Low,낮음,
l.lighting_medium,Medium,보통,
l.lighting_high,High,높음,
l.lighting_highest,Highest,매우높음,
l.textures,Textures:,텍스쳐:,
l.textures_low,Low,낮음,
l.textures_medium,Medium,보통,
l.textures_high,High,높음,
l.particles,Particles:,파티클:,
l.particles_low,Low,낮음,
l.particles_medium,Medium,보통,
l.particles_high,High,높음,
l.shadows,Shadows:,그림자:,
l.shadows_none,None,없음,
l.shadows_low,Low,낮음,
l.shadows_medium,Medium,보통,
l.shadows_high,High,높음,
l.antialiasing,Antialiasing:,안티앨리어싱:,
l.antialiasing_none,None,없음,
l.antialiasing_multisampling_2x,2x Multi-sampling,2x Multi-sampling,
l.antialiasing_multisampling_4x,4x Multi-sampling,4x Multi-sampling,
l.antialiasing_multisampling_8x,8x Multi-sampling,8x Multi-sampling,
l.model_detail,Model Quality:,슬라임 표현력:,
l.model_detail_low,Low,낮음,
l.model_detail_medium,Medium,보통,
l.model_detail_high,High,높음,
l.water_detail,Shader Quality:,물 표현력:,
l.water_detail_low,Low,낮음,
l.water_detail_medium,Medium,보통,
l.water_detail_high,High,높음,
l.ambient_occlusion,Ambient Occlusion:,Ambient Occlusion:,
l.bloom,Bloom:,빛반사 효과:,
l.fov,Field of View:,시야각:,
l.resolution,Resolution:,해상도:,
l.fullscreen,Fullscreen:,전체화면:,
m.resolution,{0}x{1},{0}x{1},
m.resolution_refresh,{0}x{1} @ {2}Hz,{0}x{1} @ {2}Hz,
m.keep_settings,Keep these settings?,이 설정을 유지합니까?,
b.apply,Apply,적용,
b.mods,Mods,모드,
l.mod_vampiric_chickens,Cluckula,칰카큘라,
l.mod_night_tarr_slimes,Bad Moon Rising,불길한 달이 오른다,
l.mod_random_plorts,The Gambler,도박꾼,
l.mod_increased_slime_spawns,Gobs of Globs,방울 대박,
l.mod_slime_hunger,The Hunger,굶주림,
l.mod_unstable_plorts,Unstable Plorts,불안정한 보석,
l.master,Master:,전체 음량:,
l.music,Music:,배경 음악:,
l.sfx,Effects:,효과음:,
dir.horizontal,Horizontal,수평,
dir.vertical,Vertical,수직,
key.forward,Forward,앞,
key.back,Back,뒤,
key.left,Left,좌,
key.right,Right,우,
key.shoot,Shoot,발사,
key.vac,Vac,흡입,
key.slimefilter,Slime Filter,슬라임 필터,
key.burst,Pulse,충격파,
key.jump,Jump,뛰기,
key.run,Sprint,달리기,
key.interact,Interact,상호작용,
key.gadgetMode,Gadget Mode,장치 모드,
key.flashlight,Flashlight,손전등,
key.radar,Radar,레이더,
key.reportissue,Report Issue,문제 제보,
key.screenshot,Screenshot,스크린샷,
key.recordgif,Record Gif,GIF 녹화,
key.pedia,Slimepedia,슬라임사전,
key.slot_1,Slot 1,슬롯 1,
key.slot_2,Slot 2,슬롯 2,
key.slot_3,Slot 3,슬롯 3,
key.slot_4,Slot 4,슬롯 4,
key.slot_5,Slot 5,슬롯 5,
key.prev_slot,Prev Slot,이전 슬롯,
key.next_slot,Next Slot,다음 슬롯,
m.keys.0,-,-,
m.keys.1,{0},{0},
m.keys.2,{0},{0},
m.slot_indicator,{0},{0},
m.press_key,Press Key...,아무 키나 누르세요,
t.gamepad_settings,Gamepad Settings,게임패드 설정,
l.sensitivity,Mouse Sensitivity:,마우스 민감도:,
l.swap_sticks,Swap Analog Sticks,아날로그 스틱을 서로 바꾸기,
l.x_look_sensitivity,Look Sensitivity X,시점 X축 민감도,
l.y_look_sensitivity,Look Sensitivity Y,시점 Y축 민감도,
l.invert_gamepad_look_y,Invert Look Y Axis,시점 Y축 반전,
l.invert_mouse_look_y,Invert Mouse Look Y Axis,마우스 시점 Y축 반전,
l.disable_gamepad,"Disable Gamepad/Joystick Input\n\
  (May fix some issues with camera spin)","게임패드/조이스틱 입력 비활성화
  (카메라 회전 문제를 해결할 수도 있음)",
m.gamepad_button,{0}: {1},{0}: {1},
m.gamepad_button_pause,{0}: Pause,{0}: 일시정지,
m.gamepad_stick,{0}: {1}\nPush: {2},{0}: {1}\nPush: {2},
l.move,Move,이동,
l.view,Look,둘어보기,
l.enable_vsync,Enable VSync:,VSync 활성화:,
b.reset_profile,Reset Options & Achievements,설정과 도전과제를 초기화,
m.confirm_reset_profile,Permanently reset your settings and achievement progress?,영구적으로 설정과 도전과제 진행사항을 초기화하겠습니까?,
t.report_issue,Report an Issue,문제를 제보합니다.,
l.description,Describe the issue:,문제에 대한 설명:,
b.submit,Submit,제출,
m.summary,Summary,요약,
l.placeholder_summary,Summary (required)...,요약 (필수사항)...,
m.description,Detailed Description,상세 설명,
l.placeholder_description,Detailed Description (optional)...,상세 설명(선택사항)...,
m.reporter,Email,Email,
l.placeholder_reporter,Your Email (optional)...,당신의 Email (선택사항),
e.require_summary,Please include a summary of the issue.,문제에 대한 요약을 작성하여 주세요,
m.sending_report,Sending report...,전송중...,
t.market,Plort Market,보석 시장,
l.loading_prices,Loading Market Prices...,시장 가격을 불러오는 중...,
l.daily_bonus,Daily Bonus!,일일 보너스!,
t.range_exchange,Range Exchange,방목장 교환소,
t.special_exchange,"Hello, Beatrix!","안녕,비트릭스!",
l.time_hours_mins,{0}:{1},{0}:{1},
l.time_hours_mins_unset,--:--,--:--,
l.exchange_progress,{0}/{1},{0}/{1},
l.no_offers_available,Range Exchange\nOffline...,방목장 교환소\n사용불가,
l.request,Trade Me:,나에게 줄 것:,
l.receive,And Receive:,받을 수 있는 것:,
l.exchange_directions,Shoot the requested items into the depositor to complete the trade.,요청받은 아이템을 투입구에 넣어 거래를 완료하세요,
m.gif_screenshot_confirm,Save GIF of last several seconds?,마지막 몇초간을 GIF으로 저장하시겠습니까?,
m.no_buffer_for_gif,No video has been buffered to save as a GIF.,GIF로 저장할 비디오가 버퍼에 기록되지 않았습니다.,
m.gif_storing,Saving GIF,GIF로 저장중,
t.achievements,Achievements,도전과제,
m.achievement_unlocked,Achievement Unlocked!,도전과제 달성!,
m.achieve_progress,{0} / {1},{0} / {1},
m.achieve_overall_progress,Overall: {0} / {1},전체: {0} / {1},
m.knocked_out1,You've Been Knocked Out!,당신은 쓰러졌습니다!,
m.knocked_out2,(But a day's rest should fix you right up...),"(하지만, 하루동안 휴식으로 바로 회복이 됩니다...)",
e.savefile_inaccessible,The save file is inaccessible and cannot be written: {0},세이브 파일에 접근을 할 수 없어 기록할 수 없습니다: {0},
e.savefile_invalid_name,The save file name is invalid and cannot be written: {0},세이브 파일 이름이 부적절하여 기록할 수 없습니다: {0},
e.savefile_dir_not_found,The save file directory was not found: {0},세이브 파일 경로를 발견할 수 없습니다: {0},
e.savefile_unknown,An unknown error prevented writing the save file: {0},알수없는 오류가 발생하여 세이브 파일을 기록하지 못했습니다: {0},
e.pushfile_error,The saved game named {0} could not be loaded. Please contact support.,,
b.take_screenshot,Take Screenshot,스크린샷 찍기,
m.slime_rancher,Slime Rancher,슬라임 목장,
l.total,Total:,합계:,
l.most_profitable_plorts,Most Profitable Plorts:,가장 수익성이 좋은 보석,
m.plort_amount,x{0},x{0},
l.knockouts,Knockouts:,기절:,
l.spent,Spent:,사용함:,
m.none,None,없음,
b.about,About,알아보기,
t.about,About Slime Rancher,슬라임 목장에 관해,
l.concept_game_design,Original Concept and Game Design,,
l.game_design,Game Design,컨셉 원안과 게임 디자인,
l.programming,Programming,프로그래밍,
l.art,Art,미술,
l.music_sfx,Music and Sound Effects,음악과 음향 효과,
l.copyright,"Slime Rancher is developed by Monomi Park. Copyright © 2014-2016 Monomi Park, LLC","Slime Rancher is developed by Monomi Park. Copyright ⓒ 2014-2016 Monomi Park, LLC",
l.select_expo_game,Select a special demo save file:,데모 세이브 파일을 선택하세요.,
b.expo_start,Fresh Start,새 출발,
b.expo_advanced,Advanced Ranch,고급 목장,
b.expo_range,Out on the Range,목장 밖,
m.desc.expo_start,Begin on a brand-new ranch and learn the ropes with a handy tutorial.,유용한 튜토리얼을 통해 로프 사용법을 배우고 완전히 새로운 목장에서 시작하세요,
m.desc.expo_advanced,"Experience a ranch that's decked-out with all kinds of awesome features, packed with slimes, \
    and ready for ranching!","온갖 종류의 멋진 기능들로 가득찬 목장을 체험하고, 슬라임으로 가득 채우고, \
목장을 준비하세요!",
m.desc.expo_range,"For the adventurous, begin somewhere out in the untamed wilds of the Far, Far Range.","모험을 즐기기 위해, 개척되지 않은 머나먼 목장 어딘가의 야생에서 시작하세요.",
b.faq,FAQ,FAQ,
t.xbox_faq,Xbox One Version FAQ,Xbox One 버전 FAQ,
l.xbox_faq_q_achievements,Will Slime Rancher have Xbox Achievements?,슬라임 목장에서 XBox 도전과제가 됩니까?,
l.xbox_faq_a_achievements,"Xbox achievements will be enabled after Slime Rancher leaves Game Preview. At that time, \
    all achievements earned in-game will instantly become Xbox achievements!",슬라임 목장이 게임 프리뷰를 벗어나면 Xbox 도전과제가 활성화됩니다. 그때 게임에서 얻은 모든 업적은 즉시 Xbox 업적이 됩니다.,
l.xbox_faq_q_versions,Are the PC and Xbox One versions of Slime Rancher the same?,PC버전의 슬라임 키우기와 X-Box one 버전의 슬라임 키우기는 같나요?,
l.xbox_faq_a_versions,"Yes, our aim is to keep both versions in sync. However, at any given time there may be a few \
    days difference during Xbox build certification.","예, 두 버전을 동일하게 유지하는 것이 우리의 목표입니다. 그러나 언제든지 \
Xbox빌드 인증으로 인해 며칠 차이가 있을 수 있습니다",
l.xbox_faq_q_whats_next,What’s next for Slime Rancher?,슬라임 목장의 다음은 무엇입니까?,
l.xbox_faq_a_whats_next,"We’ve got a lot of great content in development, including new zones to explore, slimes to \
    wrangle, and brand-new features like Slime Science! Learn more on our public roadmap:\n\
    slimerancher.com/roadmap","우리는 탐험할 새로운 지역, 돌볼 수 있는 새로운 슬라임, 슬라임 사이언스와 같은 \
 완전 새로운 기능들을 포함하는 많은 훌륭한 콘텐츠들을 개발중에 있습니다! \
공개된 우리의 로드맵에 대한 자세한 내용은 \
slimerancher.com/roadmap\
을 참조하세요.",
l.demo_end_title,This trial is over but the adventure has just begun!,,
l.demo_end_message,"Purchase the full version of Slime Rancher to keep your progress and experience these awesome features:\n\n\
- Boom slimes, honey slimes, rad slimes, hunter slimes, and many more!\n\
- A giant, open world filled with secrets to uncover!\n\
- Build strange gadgets and helpful tools with Slime Science!\n\
- Uncover the mysteries of the Ancient Ruins and what lies beyond!",,
b.demo_end_visit_store_page,Visit Store Page,,
b.demo_end_back_to_main_menu,Back to Main Menu,,
t.place_gadget,Install Gadget,장치 설치,
t.fabricate_gadget,Fabricate Gadget,장치 제작,
t.purchase_blueprint,Builder's Shop,장인의 상점,
t.refinery,Refinery,정제소,
m.gadget_pair,{0} x2,{0} x2,
m.new_blueprint,Blueprint Acquired!,청사진이 필요함!,
m.new_blueprint_hint,Visit the Fabricator to build this gadget.,제작기를 방문하여 이 장치를 만드세요,
m.avail_blueprint,New Blueprint Available!,새 청사진 사용가능!,
m.avail_blueprint_hint,Visit the Builder's Shop to purchase.,장인의 상점을 들려 구매하세요.,
m.ready,Ready!,준비됨!,
l.installing,Installing,설치중,
b.fabricate,Fabricate,조립,
l.requires,Requires:,필요함:,
m.count_of_required,{0} / {1},{0} / {1},
e.insuf_craft_resources,Not enough resources to craft item.,아이템을 제작하기 위한 재료가 부족함.,
e.cannot_add_gadget,You cannot produce another of that gadget.,그 장치의 다른 부분을 생산할 수 없습니다,
e.cannot_destroy_gadget,That gadget cannot be destroyed.,그 장치는 파괴할 수 없습니다,
e.cannot_pickup_gadget,That gadget cannot be picked up.,그 장치는 집어들 수 없습니다,
l.score,Score:,점수:,
m.avail_upgrade,New Upgrade Available!,새 업그레이드 사용가능!,
m.avail_upgrade_hint,Visit the Upgrade Shop to purchase.,구입하기 위해 업그레이드 상점을 방문하세요.,
t.corporate_partner,7Zee Rewards Club,,
l.curr_rank,Current Rank:,,
l.next_rank,Next Rank:,,
l.rewards,Rewards:,,
e.ineligible_for_corp_level,You are ineligible to reach that rank.,,
e.already_has_corp_level,You already have that rank.,,
t.chroma_packs,Chroma Packs,,
m.partner_rank.1,Initiate,,
m.partner_rank.1.reward.1,Roostro Weathervane,,
m.partner_rank.2,Pioneer I,,
m.partner_rank.2.reward.1,Fence Upgrade,,
m.partner_rank.3,Pioneer II,,
m.partner_rank.3.reward.1,Path Upgrade,,
m.partner_rank.4,Pioneer III,,
m.partner_rank.4.reward.1,Porch Upgrade,,
m.partner_rank.5,Skylark I,,
m.partner_rank.5.reward.1,Chroma Station,,
m.partner_rank.5.reward.2,Cobalt Chroma,,
m.partner_rank.5.reward.3,Milkshake Chroma,,
m.partner_rank.6,Skylark II,,
m.partner_rank.6.reward.1,Arch Upgrade,,
m.partner_rank.7,Skylark III,,
m.partner_rank.7.reward.1,Firecracker Chroma,,
m.partner_rank.7.reward.2,Grapeshot Chroma,,
m.partner_rank.8,Rolling Beetle I,,
m.partner_rank.8.reward.1,Slime Toy Shop,,
m.partner_rank.9,Rolling Beetle II,,
m.partner_rank.9.reward.1,Robo Ranger Chroma,,
m.partner_rank.9.reward.2,Maidatron Chroma,,
m.partner_rank.10,Rolling Beetle III,,
m.partner_rank.10.reward.1,Advanced Slime Toys,,
m.partner_rank.11,Playful Fox I,,
m.partner_rank.11.reward.1,Gingersnap Chroma,,
m.partner_rank.11.reward.2,Peapod Chroma,,
m.partner_rank.11.reward.3,Market Link,,
m.partner_rank.12,Playful Fox II,,
m.partner_rank.12.reward.1,Grotto Upgrade,,
m.partner_rank.13,Playful Fox III,,
m.partner_rank.13.reward.1,Vanguard Chroma,,
m.partner_rank.13.reward.2,Willow Chroma,,
m.partner_rank.14,Silver Storm I,,
m.partner_rank.14.reward.1,Slime Trophy I,,
m.partner_rank.15,Silver Storm II,,
m.partner_rank.15.reward.1,Daybreak Chroma,,
m.partner_rank.15.reward.2,Eventide Chroma,,
m.partner_rank.16,Silver Storm III,,
m.partner_rank.16.reward.1,Overgrowth Upgrade,,
m.partner_rank.17,Dancing Mongoose I,,
m.partner_rank.17.reward.1,Salamander Chroma,,
m.partner_rank.17.reward.2,Royalton Chroma,,
m.partner_rank.18,Dancing Mongoose II,,
m.partner_rank.18.reward.1,Slime Trophy II,,
m.partner_rank.19,Dancing Mongoose III,,
m.partner_rank.19.reward.1,Neopolitan Chroma,,
m.partner_rank.19.reward.2,Mint Chip Chroma,,
m.partner_rank.19.reward.3,Ultra Dash Boots,,
m.partner_rank.20,Endless Mountain I,,
m.partner_rank.20.reward.1,Tank Booster Ultra,,
m.partner_rank.20.reward.2,Master Gordo Snare Blueprint,,
m.partner_rank.21,Endless Mountain II,,
m.partner_rank.21.reward.1,Ghost Wine Chroma,,
m.partner_rank.21.reward.2,Volcanic Chroma,,
m.partner_rank.21.reward.3,Heart Module Ultra,,
m.partner_rank.22,Endless Mountain III,,
m.partner_rank.22.reward.1,Lab Upgrade,,
m.partner_rank.22.reward.2,Golden Sureshot,,
m.partner_rank.23,Wander Wolf I,,
m.partner_rank.23.reward.1,Knight Light Chroma,,
m.partner_rank.23.reward.2,Pretty Loud Chroma,,
m.partner_rank.23.reward.3,Titan Drill Blueprint,,
m.partner_rank.24,Wander Wolf II,,
m.partner_rank.24.reward.1,Slime Trophy III,,
m.partner_rank.24.reward.2,Abyssal Pump Blueprint,,
m.partner_rank.25,Wander Wolf III,,
m.partner_rank.25.reward.1,Silverfox Chroma,,
m.partner_rank.25.reward.2,Frozen Violet Chroma,,
m.partner_rank.25.reward.3,Royal Apiary Blueprint,,
m.partner_rank.26,Golden Owl I,,
m.partner_rank.26.reward.1,Docks Upgrade,,
m.partner_rank.26.reward.2,Gold Slime Lamp Blueprint,,
m.partner_rank.27,Golden Owl II,,
m.partner_rank.27.reward.1,Goldleaf Chroma,,
m.partner_rank.27.reward.2,Astro Pearl Chroma,,
m.partner_rank.27.reward.3,Gold Warp Depot Blueprint,,
m.partner_rank.28,Golden Owl III,,
m.partner_rank.28.reward.1,Slime Trophy IV,,
m.partner_rank.28.reward.2,Gold Teleporter Blueprint,,
m.loadingtip.0,A well-fed slime is a happy slime.,잘 먹은 슬라임이 행복한 슬라임입니다.,
m.loadingtip.1,Never turn your back on a chicken.,절대 닭에게 등을 돌리지 마세요.,
m.loadingtip.2,Create largos out of pink slimes: they’ll eat anything!,핑크 슬라임으로 느림보를 만드세요: 그것들은 아무거나 먹을겁니다!,
m.loadingtip.3,Rumor has it that Thora and Hobson were once in love... until he broke her heart.,"소문에 의하면, Thora와 Hobson은 사랑에 빠져있었습니다... 그가 그녀의 마음에 상처를 주기 전까지는 말이죠.",
m.loadingtip.4,Rumor has it Ogden used to be the CEO of a major insta-food conglomerate.,"소문에 의하면, Ogden은 한때 거대한 즉석식품 대기업의 CEO였다고합니다.",
