KEY,ENGLISH,KOREAN,CHECKED
m.body.exchangeintro_viktor,"Allow me to introduce myself. I am Viktor Humphries; professional slime rancher, slime scientist, and amateur musician. My understanding is that Ms West has already informed you of how the Range Exchange works so I will spare you any further education.\n\n\
  Instead, I'll illuminate you on what you can expect from my own requests. As a slime scientist/rancher I have a tremendous interest in the liquiform legion that we share this vast range with, the slimes. My studies often keep me from venturing out on the range daily and when I find myself short of a particular species, I use the Range Exchange to fill that gap. Don't worry though, I will reimburse you handsomely for your efforts.\n\n\
  Good luck in your new venture, Ms LeBeau. I look forward to seeing life breathed once again into the former Twillgers Ranch.\n\n\
  Sincerely,\n\
  Viktor Humphries\n\n\
  P.S. - I once lost my most favorite fiddle while fleeing a feral boom slime. Its value is only sentimental but should you find it, I'd very much love to be able to play it again.","제가 저를 소개할 수 있게 허락해주세요. 저는 빅토르 험프리, 전문 슬라임 목장주고, 슬라임 과학자이자, 아마추어 음악가랍니다. 제가 알기로는 웨스트씨가 당신에게 이미 목장 교환소가 어떤 원리로 작동하는지 알려주었으므로 더 이상 알려드리지 않겠어요. \n\n\
  대신에, 저는 당신이 저의 요청을 들어주신다면 앞으로 기대할만한 것을 것을 알아내드리겠습니다. 슬라임 과학자/목장주로서 저는 이 광대한 목장을 우리와 공유하는 슬라임이라는 액체형태의무리에 엄청난 관심을 가지고 있답니다. 제 연구는 종종 하루종일 목장을 벗어나지 못하게하고, 제가 특정 종류가 모자라다는 것을 알아차렸을때에 목장 교환소를 사용하여 그것을 해결하곤합니다. 너무 걱정하지는 마세요, 저는 당신의 노력에 대해 잘 보상해드릴 수 있으니까요.\n\n\
  당신의 새로운 모험에 행운을 빕니다, 르보 씨. 과거 트윌거스 목장이었던 곳에 다시 한번 생명들이 숨을 쉬는 삶을 기대합니다.\n\n\
  진심을 담아,\n\
  빅토르 험프리\n\ n\
  추신 - 저는 야생 슬라임에게서 도망치는 동안 가장 아끼는 바이올린을 잃어 버렸던 적이 있습니다. 그것의 가치는 그저 정서적인 것이지만, 만약 당신이 그것을 발견한다면, 제가 그것을 다시 연주 할 수 있게 해주시기를 바랍니다. ""
",
m.subj.exchangeintro_ogden,Hiya Beatrix!,안녕 베아트릭스!,
m.from.exchangeintro_ogden,Ogden Ortiz,오그덴 오티즈,
m.body.exchangeintro_ogden,"The name's Ogden Ortiz. I'm a slime rancher much like yourself but I mostly fancy myself as a farmer. I came to the Far, Far Range to grow fruits and veggies the way we used to back on earth: by getting down into the soil and getting your hands dirty.\n\n\
  Did you know that carrots improve your night vision? Yeah, seriously, they do! I don't see why all ranchers aren't just gobbling them down every chance they get. Being lost out on the range at night can be so dangerous...\n\n\
  Well don't let me ramble on ya here. We'll be in touch via the Range Exchange. I tend to only raise slimes that eat fruits and veggies, so expect those kinds of requests from me.\n\n\
  Lookin forward to doing business with ya!\n\n\
  O.O.\n\n\
  P.S. - Ever hear of gilded ginger? It's a mythical veggie that is said to be the favorite food of the equally mythical gold slime. But some say that neither of them actually exist!","내 이름은 오그덴 오티즈. 나는 너와 같은 슬라임목장의 주인이지만, 나는 특히 농부로서 나를 매우 좋아해. 나는 우리가 지구에서 사용하곤 했던 :흙에 다가가서 손을 더럽히게 하는 방식으로 과일과 채소를 재배하기 위해서 머나먼 목장에 왔지.\n\n\
  당근이 너의 밤눈을 밝게 만들어 준다는 것을 알고 있어? 맞아, 진지하게, 그렇게 만들어 준다고! 나는 모든 목장주들이 그들이 당근을 얻을 수 있을때 마다 왜 허겁지겁 먹어치우지 않는건지 모르겠어. 밤에 목장을 벗어나서 길을 잃어버리면 위험 할 수 있단말이야...\n\n\
  뭐 여기서 장황하게 이야기하게 하지말아줘. 우리는 앞으로 목 교환소를 통해 연락을 취하게 될거야. 나는 과일과 채소를 먹는 슬라임만 키우기 때문에 나에게는 그런 종류의 요구를 기대하면돼.\n\n\
  앞으로 너와 함께 사업을 하는게 기대되는걸!\n\n\
  오.오.\n\n\
  추신 - 금빛 생강을 들어 본 적 있어? 그것은 신화 속에 나오는 황금 슬라임이 가장 좋아하는 음식이라고 알려진 신화 속의 채소래. 그러나 어떤 사람들은 실제로 존재하지 않는다고 말하기도해!",
m.subj.exchangeintro_mochi,(no subject),(제목 없음),
m.from.exchangeintro_mochi,Mochi Miles,모치 마일즈,
m.body.exchangeintro_mochi,"Well, well it seems like another wannabe rancher has signed up for a lonely existence on a faraway space rock. Congrats Beatrix!\n\n\
  I'm Mochi Miles. That's 'Miles' as in Tatsuya Miles, the billionaire. I'm here to do important business for my dad but that doesn't mean I won't make all the rest of these backwater types out here look bad in the process. No one conquers the plort market like I do: day in, day out.\n\n\
  My dad gives me the inside track so look forward to my requesting plorts that I know will make me huge profits later on.\n\n\
  So I wish you the best of luck, Beatrix. Maybe you'll even reach second place! And at the very least you can tell your friends that you helped out the great Mochi Miles in her conquest of the Far, Far Range!\n\n\
  Later, tater.\n\n\
  Mochi Miles, Top Rancher","이런, 이런 다른 목장주를 동경하는 풋내기가 멀리 떨어진 우주암석에 외로운 생활을 등록 한 것처럼 보이네. 축하해 베아트릭스!\n\n\
  나는 모치 마일즈 야. 억만장자인 타츠야 마일즈와 같은 '마일즈' 지. 나는 아빠를 위해 중요한 사업을 진행하려고 여기에 왔지만 그렇다고해서 내가 여기 이 보기에 안좋은 후미진 방식들로 남은 부분을 진행할거란건 아니야. 아무도 나처럼 보석시장을 매번 장악하지 못할껄: 언제나 말이야.\n\n\
  우리 아빠는 내게 남들보다 유리한 입장을 주시고 나중에 큰 이익을 가져다 줄 보석들을 나에게 기대하고 계시지.\n\n\
  뭐 나는 너의 행운이 최고치를 달성하길 바라, 베아트릭스. 어쩌면 너가 2인자의 자리에 도달 할 수도 있을지도 모르지! 그리고 적어도 넌 네 친구들에게 네가 위대하신 모치 마일즈의 머나먼 목장 정복 중에서 그녀를 도왔다고 말할 수 있어!\n\n\
  나중에 또보자구, 시골뜨기.\n\n\
  모치 마일즈, 최고의 목장주",
m.subj.exchangeintro_bob,helloooo,안녀어어엉,
m.from.exchangeintro_bob,BOb,밥,
m.body.exchangeintro_bob,"Hello,,\n\
  hellohellooo......chickeNs.\n\
  helloCHickens.\n\
  chICKEN.\n\n\
  hello,\n\
  BOb\n\n\
  PSs.-- chickKn","
안녕,,\n\
 안녕안녀어엉......치킨들.\n\
 안녕치킨들.\n\
 치킨.\n\n\
 안녕,\n\
 밥\n\n\
 추신.- 치키인",
m.subj.casey_1,Rise and shine!,,
m.from.casey_1,Casey,,
m.body.casey_1,"Hi Bea,\n\n\
    What's it like to sleep for a whole year? Did you dream? I can't imagine what that's like. 7Zee puts you in a pod and and then lights out for all that time... wow.\n\n\
	What's the Far, Far Range like? Have you started exploring? Is the air as clear as they say? I bet it's really beautiful.\n\n\
	I'm probably asking too many questions. I bet you have a lot of work to do on that ranch. I still can't believe it's yours now.\n\n\
	I guess I better leave you to it and just keep it short: good luck, Bea. If anyone can make it out there, it's you.\n\n\
	- Casey",,
m.subj.casey_2,My pet cactus,,
m.from.casey_2,Casey,,
m.body.casey_2,"Hi Bea,\n\n\
    I bought a cactus from you, sort of. When I came back home it was one of the only things left in your shop. Was a lonely little guy so I decided to adopt it.\n\n\
    You know I kill every plant I touch, but I promise you this one will last. I mean, if I can't keep a cactus alive then clearly something is really wrong!\n\n\
    When I look at it I think of you out there on the range, doing your thing. Hope you're ok.\n\n\
	- Casey",,
m.subj.casey_3,Re: The big storm,,
m.from.casey_3,Casey,,
m.body.casey_3,"I got your mail: of course I remember that day. I feel like that was when you and I really connected. It was raining so hard that the streets were flooding and we took shelter in that cafe. It was like a scene from a movie only we both looked like wet animals. And the guy running the shop was a real tyrant. The only way we could stay inside was by ordering one coffee after another.\n\n\
    I felt like we learned more about each other that day than ever. Maybe it was the coffee because we were both talking really, really fast. I told you about my dreams; making music and all that. At least that's how I remember it.\n\n\
	Walking home, when the rain came back you got closer to me and my heart was racing. But I couldn't blame that on the coffee.\n\n\
	- Casey",,
m.subj.casey_4,The death hike,,
m.from.casey_4,Casey,,
m.body.casey_4,"Hi Bea,\n\n\
    Do you remember when you took me hiking? I still didn't know how serious you were about the whole outdoors thing then and your idea of a hike just about killed me! I showed up in normal clothes and shoes and you were decked out and had a pack and gear, it was a nightmare for me, haha.\n\n\
	I think it was around the five mile mark, when I was drenched in sweat and ready to collapse that I realized our ideas of fun were two very different things. Also you weren't even out of breath then and I still totally hate you for that :)\n\n\
	- Casey",,
m.subj.casey_5,Re: the... VAN,,
m.from.casey_5,Casey,,
m.body.casey_5,"Haha, it wasn't THAT bad. You just don't have the fortitude to make it as an artist, I guess. Beatrix LeBeau can climb a mountain before breakfast but can't spend a few days in a *ahem* modestly accommodated, breaks-down-only-half-the-time, VINTAGE touring van. You were so miserable. I still laugh about it.\n\n\
    But I really did appreciate it for those few days. It was great to have you in the crowd.\n\n\
	That van still runs by the way.\n\n\
	- Casey\n\n\
	P.S. That was a lie. The van literally caught on fire while we were driving it. It died like a viking.",,
m.subj.casey_6,New Year's Eve,,
m.from.casey_6,Casey,,
m.body.casey_6,"Hi Bea,\n\n\
    Do you remember New Year's Eve when we were looking for that party?\n\n\
	While we were wandering around the city, lost, I got my bearings and didn't tell you because I knew we were close to that coffee shop run by the tyrant. And since it was starting to rain I thought it would be really romantic to stumble across the place again. I guess I finally found the courage.\n\n\
	But the coffee shop went out of business and it was a taco place now. So, we ate tacos in the rain and it was just the best thing.\n\n\
	We were on the roof of your old apartment hoping to see the fireworks. I was going to tell you something then but that's when you told me about Africa. It sounded like an amazing trip. I was really happy you were doing what you loved to do.\n\n\
	- Casey",,
m.subj.casey_7,Re: Africa,,
m.from.casey_7,Casey,,
m.body.casey_7,"Thanks, Bea. I never knew you felt that way. I picture you out there on a safari, avoiding the clutches of lions on the savanna, riding elephants across raging rivers, and then, as you sit under the stars at night, your weathered hand opens up a locket and there's a picture of me inside. And then your loyal chimpanzee companion gives you a somber, knowing look.\n\n\
    Is that accurate? haha\n\n\
	Well, for what it's worth I missed you too when I was in LA. Uuugh, that bar was just awful, but at least I got some stage time.\n\n\
	- Casey\n\n\
	P.S. The chimp's name was Colonel Bananas.",,
m.subj.casey_8,Coming home,,
m.from.casey_8,Casey,,
m.body.casey_8,"Hi Bea,\n\n\
    The year we both came home, do you think it ever could have worked? I mean, being with you again every day instead of the long distance thing, that was great. I remember feeling really happy, but something was missing. We both knew that we were giving something up for it all.\n\n\
	I think about it all the time. That if we had been less honest about it all how you might still be running that little garden shop and I'd still be trying to write music out of a basement.\n\n\
	It doesn't matter. I should have told you then what I never did. I should have said it a hundred times.\n\n\
	- Casey",,
m.subj.casey_9,Re: London,,
m.from.casey_9,Casey,,
m.body.casey_9,"I know, it was the right thing to do. I appreciate you letting me know, but it never felt the same as having you close by. London was an opportunity I couldn't pass up, an opportunity to tour and do what I love.\n\n\
    But I still missed you like crazy. And when you told me about going to the Far, Far Range it made me miss you even more, even before you were gone.\n\n\
	I guess that's just us: what we really want just so happens to be in different parts of the known universe. I mean, there's long distance and then there's being so far away that time itself might actually function differently. Why aren't there more songs about that, huh?\n\n\
	- Casey",,
m.subj.casey_10,Re: Life is different now,,
m.from.casey_10,Casey,,
m.body.casey_10,"I had a year to think about things while you slept on your way across the stars. I think it almost scared me when things got easier, and when I finally realized that what we each have now is what we wanted all along. Because if you're still the girl that I know, you're happy out there on the very farthest frontier.\n\n\
    And I hope the happiness you feel now lasts forever. I hope that the sunsets over there are as gorgeous as they are over here and that if you search far enough on a rainy day some rancher out there has a taco stand you can visit. I realize that last one probably isn't likely to happen but it sure would be romantic, right?\n\n\
	I'm glad to have shared a part of me with you, Beatrix LeBeau. And I'm happy to know that maybe one of those stars I see up there in the sky is you.\n\n\
	- Casey",,
m.subj.casey_11,Another tour,,
m.from.casey_11,Casey,,
m.body.casey_11,"Hi Bea,\n\n\
    There's another tour coming up and I have a feeling that this will be the one.\n\n\
    So here I am, packing my bags and thinking of you. Maybe this is how it felt when you were leaving for your big adventure. Lots of excitement, lots of butterflies.\n\n\
    And even though I know you're so far away, I keep thinking that maybe I'll catch you somewhere out there in the crowd.\n\n\
    If that ever happens, I promise I'll sing a song for you. It wouldn't be the first time.\n\n\
    - Casey",,
m.journal.jo_ranch_lab,"I built this lab after meeting a slime scientist and learning about the wonders of plort technology. I figured it would be fun to tinker with on rainy days.\n\n\
I only nearly blew myself up three times, which is pretty good given my tendency for that sort of thing in my other hobbies. But it soon became a reminder that I have a thirst for adventure, and being cooped up in a barn all day wasn't ever going to satisfy that thirst.\n\n\
Soon, I began to set my sights for horizons beyond this ranch. And once I got to thinking on it, further still.\n\n\
- H",,
m.journal.jo_ranch_grotto,"Before I left the ranch I found myself sleeping most nights in this here grotto. I'd fill it full of phosphor slimes and watch them dance in the dark. Drifting off, I'd pretend I was drifting in a sea of stars, across the limitless black of space.\n\n\
It's funny how when you dream, you sure become a sucker for the impossible. Every time I woke to find myself back in the grotto I'd feel a little sadness. But then it was back to work. There was always something that needed doing.\n\n\
- H",,
m.journal.jo_ranch_overgrowth,"I built this area myself by spreading soil from the Moss Blanket all over the ground, just to see what would happen. I was hoping it would attract a hunter slime or two, but no such luck. Maybe I need to get some of them big mushrooms to grow here instead? They sure seem to like hanging out around those things.\n\n\
- H",,
m.journal.jo_ranch_docks,"A view of the sea really reminds you of our greater purpose, Beatrix. The sea was the first great unknown, and then space, and then whatever is beyond all that. That need to see what's around the next corner is in my bones, and since you're out here, I reckon it's in yours too.\n\n\
Though, I suppose you could also be out here because you like the fresh air. Or you prefer the untamed beauty of this land. Or maybe it's because you're looking to leave something far behind ya. Sure is the way to do it; doesn't get much further than this.\n\n\
- H",,
m.journal.jo_reef_intro,"Hello Beatrix!\n\n\
The name's Hobson Twillgers: rancher, explorer, and the former owner of this here ranch you now call your own. Pleased to make your acquaintance!\n\n\
I was a rancher for more years than I can remember and felt there was one last adventure left in me so I've set off to find just that. But before I go I'm taking one last tour around this here land I love. So keep your peepers peeled for notes like these, if you want to hear what an old coot has to say every now and again.\n\n\
Be talking to ya!\n\n\
- H",,
m.journal.jo_reef_circles,"I used to come to this beach to think. I'd sit and stare at that those distant rings and ruminate on who created them and for what purpose.\n\n\
But most of all, I'd sit here and think of her.\n\n\
- H",,
m.journal.jo_reef_bigtree,"I had a great, big tree like this here one along the edge of my property back on Earth. It had been there before anyone could remember. It survived all kinds of change around it and then one day I began to notice it was dying.\n\n\
Wasn't anything unnatural, was just its time I suppose. And then I realized that if I didn't do something, I'd end up like that tree: I'd spend my whole life in the same place.\n\n\
I wasn't going to let that happen. So I bought a ticket for the Far, Far Range the very next day.\n\n\
- H",,
m.journal.jo_reef_boot,"I once lost a boot off this here cliff.\n\n\
Now, I never said that these journals would be full of important information. And to be fair, it was a darn good boot.\n\n\
- H",,
m.journal.jo_reef_curious,"If you're reading this, you must be a naturally curious person who doesn't mind a little risk now and again.\n\n\
I think if we ever met, we'd get along just fine.\n\n\
- H",,
m.journal.jo_reef_ferals,"This entire cave system was sealed off from a cave-in when I first discovered it. Maybe that's why the fellas up ahead are so grumpy: haven't had a bite in a long time.\n\n\
In any case, don't let that long-awaited bite come from your own rump! Bring some food to calm them down.\n\n\
- H",,
m.journal.jo_moss_exit,"The first time I went exploring the Moss Blanket I got stuck here so I constructed a way out. It's just up yonder.\n\n\
- H",,
m.journal.jo_moss_forest,"The Moss Blanket may seem like an ancient jungle of sorts, but the fact is that much of what you see here wasn't even around when I first began exploring this land. At this rate, I reckon that it won't be long before this greenery completely overtakes the Far, Far Range!\n\n\
- H",,
m.journal.jo_moss_love,"Have you ever been in love, Beatrix? Makes you feel all achy inside, like a day after your soul's been to the gym. That's the best way I can describe it, anyway.\n\n\
It also realigns your thinking to something you swear is downright alien. All those things you thought really mattered suddenly don't. Changes you entirely!\n\n\
Can't recommend it enough.\n\n\
- H",,
m.journal.jo_moss_danger,"I highly advise you have a jetpack and a few upgrades before tackling what's ahead. The land is all broken and twisted and there's plenty of feral slimes about who you won't see coming before they blast you right into the sea.\n\n\
Keep those peepers peeled!\n\n\
- H",,
m.journal.jo_quarry_springs,"I used to come here when I needed a good soak. It's a great way to clear your head.\n\n\
Sometimes I'd catch a puddle slime blushing and I could never tell if it was because I was in my bathing suit or not.\n\n\
- H",,
m.journal.jo_quarry_crystals,"I once came here to collect crystals for a little project of mine. Was trapped here for nearly two days when those curious crystal slimes came rolling my way and started firing off those dangerous shards. I thought I was gonna kick the bucket!\n\n\
The crystals were for a wind chime. I bet Thora still has it hanging from her porch.\n\n\
Worth it.\n\n\
- H",,
m.journal.jo_quarry_stars,"It was here that I knew I had to leave once again. I had spent the entire day exploring, trying to find my way to this island. And though I spent the rest of the night walking along the shore in the soft glow of these fireflowers, I caught myself looking up again and again.\n\n\
Once more, I was looking to the stars.\n\n\
- H",,
m.journal.jo_quarry_alone,"I was always happiest when I was by my lonesome. Places like this old quarry really suited me: nice and quiet and mostly empty. So I figured that life on the Far, Far Range would suit me just as well.\n\n\
And well wouldn't you just know it? I come all this way and the first person I see... well, she changed how I saw things I guess. Quiet wasn't good anymore. I liked her laugh.\n\n\
- H",,
m.journal.jo_ruins_lemons,"The ghostly phase lemon trees that you may have seen were a real head scratcher to me for the longest time. I kept dreaming about an ice-cold glass of lemonade on the long summer days I spent exploring these ruins. Delicious stuff!\n\n\
But here's the trick: if you want those lemons, you've got to be willing to part with a fruit of your own. Give it a shot.\n\n\
- H",,
m.journal.jo_ruins_intro,"Fascinating aren't they? Who do you think constructed these ancient ruins, and for what purpose? I'd visit this place and ponder that question often. Only one thing is for certain: these folks liked slimes!\n\n\
Eventually I came to realize what this place was for and how to utilize it.\n\n\
Will you do the same?\n\n\
- H",,
m.journal.jo_ruins_doors,"These strange, glass doors are a good reminder that you can't always have both. Hit that switch over there all you like and both doors will never be open.\n\n\
Sometimes you gotta choose one path or another and there's no way around it. But you know what? Either path you choose is gonna make you hurt some for want of walking the other.\n\n\
Life is filled with doors like these.\n\n\
- H",,
m.journal.jo_ruins_sanctum,"The ruins used to be some kind of warp station, used by whoever created it to connect to one of the most distant corners of the Far, Far Range. Be careful, Beatrix: once you cross over you'll be in truly untamed country. Though beautiful, the other side can be an unforgiving place.\n\n\
- H",,
m.journal.jo_desert_firestorm,"The Glass Desert is a fascinating place but you need to be on guard: at any moment a dangerous solar anomaly can occur that will cause all heck to break loose for a spell.\n\n\
You'll know it when you see it, and when you do, head for cover or risk burning your tuchus!\n\n\
- H",,
m.journal.jo_desert_fountain,"The desert is a harsh place for sure, but there are little pockets like this where life is waiting to flow back into the soil, and reach toward the clouds.\n\n\
Of course, it might happen a little faster if you give it a helping hand. Use that noggin, Beatrix!\n\n\
- H",,
m.journal.jo_desert_glass,"Must have been one heck of a scorcher that caused these glass formations. They always looked like flames to me, like a great firestorm covered this land before being frozen in time.\n\n\
Then again, maybe these are flames burning away but at a pace we can't even perceive. Perhaps this desert has two different times overlapping one another and here we are stuck in the middle of it.\n\n\
Wouldn't that just be wild?\n\n\
- H",,
m.journal.jo_desert_overlook,"Quite a sight to gaze upon the sand sea out there, no? I've scoured every corner of the desert and everywhere I look, that sand sea stretches to the horizon. Makes you wonder just where the heck on the Far, Far Range you are when the Slime Sea is nowhere to be found!\n\n\
- H",,
