KEY,ENGLISH,KOREAN,CHECKED
m.text.science_builder_shop,"The Builder's Shop allows you to purchase blueprints. A blueprint is required to build \
  any gadget.\n\
  \n\
  Be sure to check the Builder's Shop often for new blueprints!","장인의 집에서 청사진을 구입할 수 있습니다. 청사진이 필요합니다\
  아무 장치나 만들기 위해선\n\
  \n\
  장인의 집에 자주 들러 새 청사진을 확인하세요!",
t.science_fabricator,The Fabricator,제작기,
m.text.science_fabricator,"Once you have a blueprint, the Fabricator allows you to craft gadgets, using resources stored \
  in the Refinery. \
  Give it a try!","일단 청사진을 가지고 있으면, 제작기로 장치들을 제작할 수 있다\
  정제소에 저장된 자원들을 사용해서. \
  시도해보세요!",
t.science_gadget_mode,Gadget Mode,장치 모드,
m.text.science_gadget_mode,"In order to place gadgets, you need to enable Gadget Mode.",장치들을 놓기 위해서는 장치 모드를 활성화 해야 한다.,
m.input.science_gadget_mode.1,T,T,
m.inputdesc.science_gadget_mode.1,Toggle Gadget Mode,장치 모드 껐다켜기,
m.input.gamepad.science_gadget_mode.1,ToggleGadgetMode,장치모드토글,
m.inputdesc.gamepad.science_gadget_mode.1,Toggle Gadget Mode,장치모드 껐다켜기,
t.science_sites,Build Sites,부지 만들기,
m.text.science_sites,"In Gadget Mode you cannot vac or shoot, but you can see all the build sites in the world that \
  you can place your gadgets. \
  Have a look around!","장치 모드에서는 포획하거나 쏠수는 없지만, 세상에 있는 모든 건설 부지를 볼 수 있다.\
  장치를 설치할 수 있는.\
  주변을 둘러보세요!",
t.science_place_site,Place Site,부지에 놓기,
m.text.science_place_site,"Once you've found a build site, approach it to open to Place Gadget menu. Then simply \
  select the gadget you wish to place!","일단 건설 부지를 발견했으면 접근하여 장치 놓기 메뉴를 엽니다.\
그리고 간단하게 놓고 싶은 장치를 선택하세요!",
t.science_wrapup,Science Class: Passed!,과학 수업: 통과!,
m.text.science_wrapup,"That covers the basics of Slime Science! To learn more, check out the new Slime Science \",이러한 것들이 슬라임 과학의 기초입니다. 자세히 알아보기 위해서 슬라임백과의 새 슬라임 과학 섹션을 확인해보세요. 편리한 정보가 가득합니다!,
